Shanghai,DOW,Y
962.53,1316.390015,8.49
1019.97,1292.060059,8.49
1033.47,1285.400024,8.48
974.86,1284.469971,8.48
972.54,1281.47998,8.47
978.99,1284.530029,8.47
927.62,1287.699951,8.47
914.39,1292.75,8.46
969.02,1284.339966,8.46
918.44,1285.780029,8.46
867.65,1284.150024,8.46
880.69,1266.660034,8.46
870.15,1259.219971,8.46
912.38,1255.540039,8.46
839.37,1261.849976,8.46
791.15,1272.410034,8.46
706.42,1288.900024,8.46
660.5,1290.150024,8.46
738.03,1294.02002,8.46
698.93,1300.709961,8.46
705.07,1302.390015,8.46
711.01,1301.77002,8.46
635.38,1311.699951,8.46
663.75,1302.329956,8.46
616.34,1295.459961,8.46
624.52,1279.969971,8.46
652.89,1278.839966,8.46
718.99,1276.969971,8.46
712.71,1289.589966,8.46
785.85,1314.329956,8.46
744.49,1307.27002,8.46
686.31,1296.02002,8.46
703.67,1289.77002,8.46
677.4,1292.27002,8.46
654.98,1277.719971,8.46
673.79,1277.030029,8.46
667.87,1281.589966,8.46
717.36,1278.650024,8.46
666.78,1275.900024,8.46
674.68,1268.349976,8.46
709.69,1277.089966,8.45
723.91,1276.339966,8.45
711.68,1279.469971,8.45
