Shanghai,P Change,Dow,P Change,Y,
1035.63,0.003939631,1165.73999,0.002925215,5.48,0
1012.55,-0.022793936,1165.119995,0.000531847,5.48,0
1002.17,-0.010357524,1161.349976,0.003235735,5.51,0.005444646
1005.23,0.003044079,1154.719971,0.005708878,5.52,0.001811594
964.09,-0.042672365,1151.26001,0.002996364,5.52,0
863.41,-0.116607406,1158.280029,-0.006097683,5.52,0
781.21,-0.105221387,1161.189941,-0.00251227,5.53,0.001808318
850.94,0.081944673,1161.859985,-0.000577032,5.54,0.001805054
858.38,0.00866749,1154.97998,0.005921544,5.53,-0.001808318
939.46,0.086304899,1154.099976,0.000761921,5.53,0
933.44,-0.006449263,1139.77002,0.012416564,5.53,0
939.51,0.006460815,1127.619995,0.010660067,5.53,0
932.32,-0.007711944,1127.410034,0.000186198,5.53,0
916.25,-0.017538881,1127.459961,-4.42847E-05,5.53,0
884.1,-0.036364665,1130.670044,-0.002847181,5.52,-0.001811594
849.57,-0.040644091,1135.579956,-0.00434248,5.51,-0.001814882
877.89,0.032259167,1134.550049,0.000906944,5.51,0
863.77,-0.016346944,1142.199951,-0.006742675,5.51,0
848.2,-0.01835652,1154.569946,-0.010829973,5.51,0
823.27,-0.030281682,1152.810059,0.001524279,5.54,0.005415162
824.96,0.002048584,1147.689941,0.004441424,5.55,0.001801802
787.67,-0.047342161,1142.199951,0.004783513,5.55,0
764.11,-0.030833257,1148.359985,-0.005393131,5.55,0
753.58,-0.013973301,1162.22998,-0.01207809,5.55,0
702.83,-0.072208073,1161.349976,0.000757169,5.55,0
640.12,-0.097966006,1182.77002,-0.01844409,5.55,0
635.74,-0.006889609,1165.48999,0.014609797,5.55,0
692.78,0.08233494,1160.709961,0.004101304,5.56,0.001798561
776.29,0.107575777,1161.859985,-0.000990794,5.57,0.001795332
734.98,-0.056205611,1166.640015,-0.004114119,5.57,0
738.16,0.004308009,1167.589966,-0.000814262,5.57,0
769.04,0.040153958,1156.400024,0.009583794,5.57,0
761.72,-0.00960983,1152.26001,0.003580088,5.57,0
754.4,-0.009703075,1157.97998,-0.004964131,5.58,0.001792115
733.44,-0.028577661,1147.219971,0.009292051,5.58,0
722.7,-0.014860938,1156.77002,-0.008324514,5.58,0
712.37,-0.014500891,1154.780029,0.0017203,5.59,0.001788909
730.57,0.024912055,1153.459961,0.001143134,5.59,0
729.79,-0.001068801,1144.849976,0.007464485,5.59,0
724.7,-0.007023596,1129.469971,0.013434079,5.59,0
710.63,-0.019799333,1122.02002,0.006595971,5.59,0
702.32,-0.011832213,1125.640015,-0.003226319,5.59,0
679.62,-0.033401018,1116.140015,0.008439643,5.62,0.005338078
674.24,-0.007979355,1122.699951,-0.005877341,5.67,0.008818342
665.26,-0.013498482,1107.469971,0.013565494,5.71,0.007005254
643.69,-0.033509919,1118.660034,-0.010104168,5.73,0.003490401
660.29,0.025140469,1130.050049,-0.010181838,5.75,0.003478261
690.57,0.043847836,1129.369995,0.000601791,5.75,0
673.99,-0.024599772,1128.050049,0.001168745,5.75,0
663.75,-0.015427495,1134.25,-0.005496167,5.8,0.00862069
663.53,-0.00033156,1137.079956,-0.002495002,5.8,0
664.75,0.001835276,1138.609985,-0.001345577,5.84,0.006849315
632.4,-0.051154333,1140.810059,-0.001932245,5.84,0
616.29,-0.026140291,1145.540039,-0.004146159,5.86,0.003412969
